

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
045.219  000.046  000.046: require('kanagawa.highlights.plugins')
045.697  001.294  000.854: sourcing /home/jero/.local/share/lunarvim/site/pack/packer/start/kanagawa.nvim/colors/kanagawa.vim
045.912  000.033  000.033: require('lualine_require')
046.125  000.303  000.270: require('lualine')
046.218  000.024  000.024: require('lvim.core.lualine.conditions')
046.244  000.025  000.025: require('lvim.core.lualine.colors')
046.255  000.095  000.046: require('lvim.core.lualine.components')
046.265  000.139  000.043: require('lvim.core.lualine.styles')
046.445  000.037  000.037: require('lualine.utils.loader')
051.348  000.061  000.061: require('lvim.core.commands')
051.425  000.031  000.031: require('lvim.lsp.handlers')
051.578  000.060  000.060: require('nlspsettings.config')
052.025  000.419  000.419: require('nlspsettings.log')
052.028  000.448  000.028: require('nlspsettings.utils')
052.034  000.555  000.047: require('nlspsettings')
052.377  000.275  000.275: require('nlspsettings.schemas')
052.380  000.323  000.048: require('nlspsettings.loaders.json')
052.457  000.043  000.043: require('mason-lspconfig')
052.484  000.025  000.025: require('mason-lspconfig.settings')
052.576  000.026  000.026: require('mason-core.notify')
052.580  000.060  000.034: require('mason-lspconfig.lspconfig_hook')
052.615  000.027  000.027: require('mason-lspconfig.server_config_extensions')
052.653  000.035  000.035: require('lspconfig.server_configurations.omnisharp')
052.796  000.024  000.024: require('mason-core.functional.number')
052.814  000.094  000.069: require('mason-lspconfig.api.command')
052.847  000.032  000.032: require('lvim.lsp.null-ls')
053.005  000.056  000.056: require('null-ls.methods')
053.013  000.105  000.049: require('null-ls.utils')
053.022  000.144  000.039: require('null-ls.config')
053.069  000.023  000.023: require('null-ls.helpers.cache')
053.102  000.032  000.032: require('null-ls.helpers.diagnostics')
053.126  000.023  000.023: require('null-ls.helpers.formatter_factory')
053.189  000.024  000.024: require('null-ls.logger')
053.218  000.028  000.028: require('null-ls.state')
053.220  000.093  000.041: require('null-ls.helpers.generator_factory')
053.275  000.026  000.026: require('null-ls.helpers.command_resolver')
053.276  000.056  000.030: require('null-ls.helpers.make_builtin')
053.303  000.025  000.025: require('null-ls.helpers.range_formatting_args_factory')
053.304  000.281  000.029: require('null-ls.helpers')
053.365  000.029  000.029: require('null-ls.diagnostics')
053.370  000.065  000.036: require('null-ls.sources')
053.397  000.026  000.026: require('null-ls.builtins')
053.399  000.550  000.035: require('null-ls')
053.530  050.704  015.677: sourcing /home/jero/.local/share/lunarvim/lvim/init.lua
053.536  000.340: sourcing vimrc file(s)
053.846  000.010  000.010: sourcing /home/jero/.local/share/lunarvim/site/pack/packer/start/LuaSnip/ftdetect/snippets.vim
054.263  000.018  000.018: sourcing /home/jero/.local/share/lunarvim/lvim/ftdetect/json.lua
054.286  000.014  000.014: sourcing /home/jero/.local/share/lunarvim/lvim/ftdetect/plaintex.lua
054.307  000.012  000.012: sourcing /home/jero/.local/share/lunarvim/lvim/ftdetect/zig.lua
054.323  000.563  000.509: sourcing /usr/share/nvim/runtime/filetype.lua
054.345  000.011  000.011: sourcing /usr/share/nvim/runtime/filetype.vim
054.584  000.065  000.065: sourcing /usr/share/nvim/runtime/syntax/synload.vim
054.683  000.289  000.224: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
055.591  000.120  000.120: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
055.607  000.005  000.005: sourcing /usr/share/nvim/runtime/plugin/health.vim
055.932  000.124  000.124: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
055.996  000.381  000.257: sourcing /usr/share/nvim/runtime/plugin/matchit.vim
056.102  000.098  000.098: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
056.354  000.243  000.243: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
056.470  000.005  000.005: sourcing /home/jero/.local/share/nvim/rplugin.vim
056.476  000.106  000.101: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
